id,address_sido,address_sigungu,address_dong,address_full,hammer_price,reference_date,property_type,land_area_sqm,building_area_sqm,unit_price_py,land_price_sqm,approval_date,days_since_transaction,building_age,price_per_sqm,is_new,property_type_code
261,경기도,평택시,청북읍,경기도 평택시 청북읍 옥길리 1134-4,860000000.0,2026-02-10,근린상가,427.8,484.07,6645570.842944297,1055000.0,2016-09-29,119,10,2010285.1799906497,0,0
262,경기도,평택시,안중읍,경기도 평택시 안중읍 덕우리 187외,345318000.0,2025-05-13,근린상가,468.0,212.7,2439203.221021403,281700.0,1998-11-18,392,28,737858.9743589744,0,0
263,경기도,평택시,안중읍,경기도 평택시 안중읍 학현리 505-12,1700000000.0,2025-04-16,근린상가,893.0,935.08,6293207.962759017,2132000.0,2000-11-16,419,26,1903695.4087346024,0,0
264,경기도,평택시,안중읍,경기도 평택시 안중읍 학현리 132-1,1600000000.0,2024-05-20,근린상가,1269.0,415.2,4168050.5897140326,527600.0,2023-10-25,750,3,1260835.3033884948,1,0
265,경기도,평택시,안중읍,경기도 평택시 안중읍 덕우리 220,150000000.0,2023-10-05,대지,595.0,585.0,833391.2077227585,281700.0,1979-12-31,978,47,252100.84033613445,0,0
267,대전광역시,서구,갈마동,대전광역시 서구  갈마동 377-19,920000000.0,2025-12-04,상업용,236.4,493.6,12865153.612730907,1495000.0,1995-07-15,187,31,3891708.9678510996,0,0
268,대전광역시,서구,갈마동,대전광역시 서구  갈마동 292-3,2320000000.0,2025-06-20,상업용,384.7,1438.14,19936109.923585407,2282000.0,1997-10-31,354,29,6030673.251884585,0,0
269,대전광역시,서구,갈마동,대전광역시 서구  갈마동 308-10,590000000.0,2024-07-19,상업용,183.8,464.34,10611606.21948039,1788000.0,1992-05-01,690,34,3210010.881392818,0,0
270,대전광역시,서구,갈마동,대전광역시 서구  갈마동 361-18,1290000000.0,2024-11-13,상업용,520.2,1460.9,8197737.043285958,1187000.0,1990-10-23,573,36,2479815.4555940023,0,0
271,충청북도,충주시,대소원면,"충청북도 충주시 대소원면 본리 1100(토지, 건물), 1102-1(토지)",4340000000.0,2021-01-11,주유소,4329.5,310.2,3313802.387808414,494900.0,2012-07-30,1975,14,1002425.2223120453,0,0
272,충청북도,충주시,대소원면,충청북도 충주시 대소원면 본리 1102,4700000000.0,2025-07-25,상업나지,3676.8,585.0,4225737.076437289,461500.0,1979-12-31,319,47,1278285.4656222803,0,0
273,충청북도,충주시,신니면,충청북도 충주시 신니면 모남리 99-1,430000000.0,2020-07-06,주유소,521.0,141.48,2728383.1157500674,107400.0,2007-11-16,2164,19,825335.8925143954,0,0
274,충청북도,충주시,금릉동,충청북도 충주시 금릉동 180-2,430000000.0,2023-08-31,주유소,641.0,47.0,2217609.365531646,515600.0,2003-05-13,1013,23,670826.8330733229,0,0
276,경기도,화성만세구,남양읍,경기도 화성만세구 남양읍 장덕리 780-28외,2250000000.0,2025-06-20,"제조업소, 사무소",3077.0,700.0,2417294.9395273384,274400.0,2023-10-27,354,3,731231.7192070198,1,0
277,경기도,화성만세구,남양읍,경기도 화성만세구 남양읍 장덕리 967-8외,670000000.0,2025-11-13,제조업소,746.0,198.0,2969002.725278621,329000.0,2023-01-17,208,3,898123.3243967828,1,0
278,경기도,화성만세구,남양읍,경기도 화성만세구 남양읍 신남리 1175,980000000.0,2025-07-29,제조업소,1006.0,316.81,3220347.337462826,437900.0,2022-03-11,315,4,974155.0695825049,1,0
279,경기도,화성만세구,남양읍,경기도 화성만세구 남양읍 장덕리 61,3520000000.0,2025-06-10,제조업소,4422.0,1172.2,2631470.745446322,298000.0,2020-12-21,364,6,796019.9004975124,1,0
280,경기도,화성만세구,남양읍,경기도 화성만세구 남양읍 장덕리 491-17,840000000.0,2025-07-01,제조업소,1329.4,347.0,2088806.6075915683,342200.0,2013-06-04,343,13,631863.9987964495,0,0
282,충청남도,당진시,대덕동,충청남도 당진시  대덕동 705-6,100000000.0,2025-02-05,단독주택,878.0,35.2,376513.1120691278,108200.0,2019-09-20,489,7,113895.21640091116,0,0
283,충청남도,당진시,용연동,충청남도 당진시  용연동 800-5,95000000.0,2025-08-22,단독주택,494.0,585.0,635727.9084551812,77700.0,1979-12-31,291,47,192307.6923076923,0,0
284,충청남도,당진시,대덕동,충청남도 당진시  대덕동 1447,450000000.0,2026-03-16,근린상가,248.8,148.8,5979112.965374293,1166000.0,2009-12-10,85,17,1808681.6720257234,0,0
285,충청남도,당진시,대덕동,"충청남도 당진시  대덕동 633-4, 633-2",230000000.0,2022-12-13,단독주택,736.0,121.04,1033057.8512396695,181900.0,2002-10-21,1274,24,312500.0,0,0
286,충청남도,당진시,대덕동,충청남도 당진시  대덕동 1630,700000000.0,2021-08-23,단독주택,358.2,633.92,6460216.601833779,866700.0,2009-01-07,1751,17,1954215.522054718,0,0
287,서울특별시,서초구,방배동,"서울특별시 서초구 방배동 511-69(토지, 건물)",2980000000.0,2022-03-07,근린주택,281.0,338.32,35057792.41787007,3734000.0,2015-08-24,1555,11,10604982.206405694,0,0
288,서울특별시,서초구,방배동,서울특별시 서초구  방배동 511-65,1935000000.0,2026-02-05,근린주택,250.0,253.51,25586776.859504133,3583000.0,2018-07-05,124,8,7740000.0,0,0
289,서울특별시,서초구,방배동,서울특별시 서초구  방배동 511-16,1342000000.0,2026-01-10,근린주택,261.0,585.0,16997561.82514803,2282000.0,1979-12-31,150,47,5141762.45210728,0,0
290,서울특별시,서초구,방배동,서울특별시 서초구  방배동 2736-10,2200000000.0,2025-11-11,단독주택,308.0,188.92,23612750.885478158,5236000.0,1997-11-28,210,29,7142857.142857143,0,0
292,경기도,안성시,일죽면,경기도 안성시 일죽면 능국리 602-6,450000000.0,2025-08-26,공장,1852.0,745.45,803241.5258019028,157200.0,2004-09-02,287,22,242980.5615550756,0,0
293,경기도,안성시,일죽면,경기도 안성시 일죽면 능국리 402-4외,400000000.0,2025-03-14,공장,2099.0,199.5,629973.3442528713,118000.0,1996-03-19,452,30,190566.93663649357,0,0
294,경기도,이천시,설성면,경기도 이천시 설성면 신필리 3-15외,2300000000.0,2025-04-04,공장,9796.0,1873.94,776164.3308619811,114900.0,2021-07-02,431,5,234789.71008574928,1,0
295,경상북도,구미시,공단동,"경상북도 구미시 공단동 292-48(토지, 건물), 292-20(토지)",2460000000.0,2025-05-13,공장,4276.403666564605,585.0,1901651.9578217466,251700.0,1979-12-31,392,47,575249.7172410784,0,0
296,경상북도,구미시,공단동,경상북도 구미시  공단동 267-86,1400000000.0,2025-11-19,공장,1653.0,1099.59,2799818.011829231,251700.0,2010-03-15,202,16,846944.9485783424,0,0
298,경상북도,구미시,공단동,경상북도 구미시  공단동 305-6,1720000000.0,2025-10-15,공장,1810.0,1081.0,3141409.068079083,226600.0,2011-08-10,237,15,950276.2430939226,0,0
299,경상북도,구미시,공단동,경상북도 구미시  공단동 267-82,2020000000.0,2025-05-02,공장,2302.0,1483.9,2900819.2660352835,222900.0,2011-03-25,403,15,877497.8279756734,0,0
300,경상북도,구미시,공단동,경상북도 구미시  공단동 267-67,1900000000.0,2026-02-12,공장,2424.0,1721.34,2591168.207729864,251700.0,2019-04-11,117,7,783828.3828382838,0,0
314,서울특별시,영등포구,문래동3가,서울특별시 영등포구  문래동3가 58-88,1396000000.0,2025-06-30,근린상가,96.9,92.16,47625139.66003974,4807000.0,1961-12-31,344,65,14406604.747162022,0,0
315,서울특별시,영등포구,문래동3가,서울특별시 영등포구  문래동3가 58-27,1320000000.0,2026-01-28,근린상가,100.2,42.15,43549265.106151335,4807000.0,1970-12-08,132,56,13173652.694610778,0,0
316,서울특별시,영등포구,문래동2가,서울특별시 영등포구  문래동2가 14-61,4000000000.0,2025-11-12,근린상가,251.2,69.95,52639890.50902774,4991000.0,1979-12-31,209,47,15923566.878980892,0,0
317,서울특별시,영등포구,문래동2가,서울특별시 영등포구  문래동2가 44-4,1970000000.0,2025-11-18,근린상가,123.0,58.02,52946314.58711281,5067000.0,1960-08-14,203,66,16016260.162601626,0,0
319,경기도,고양덕양구,관산동,경기도 고양덕양구  관산동 17-10,740000000.0,2025-09-24,근린상가,610.0,198.0,4010296.7077631755,797800.0,1997-06-24,258,29,1213114.7540983607,0,0
320,경기도,고양덕양구,관산동,경기도 고양덕양구  관산동 638,550000000.0,2025-04-02,근린상가,495.0,198.0,3673094.582185491,566500.0,2024-08-14,433,2,1111111.111111111,1,0
321,경기도,고양덕양구,원당동,경기도 고양덕양구  원당동 632-7외,2500000000.0,2025-04-08,근린상가,1197.0,177.2,6904313.124408819,1562000.0,2013-12-10,427,13,2088554.7201336676,0,0
322,경기도,고양덕양구,대자동,경기도 고양덕양구  대자동 824-41외,975000000.0,2024-07-18,근린상가,1096.0,366.8,2940821.620317307,684400.0,2004-12-04,691,22,889598.5401459854,0,0
323,경기도,고양시,덕양구,"경기도 고양시 덕양구 내유동 462-1(토지, 건물), 462-6(토지)",880000000.0,2020-11-04,근린상가,990.0,396.0,2938475.6657483927,549700.0,1996-09-02,2043,30,888888.8888888889,0,0
324,경기도,고양덕양구,내유동,경기도 고양덕양구  내유동 660-4,100000000.0,2024-09-25,근린상가,52.8,39.84,6260956.674179816,1366000.0,2003-10-11,622,23,1893939.393939394,0,0
325,경기도,고양덕양구,내유동,"경기도 고양덕양구  내유동 398-2, 398-3, 398-5",90000000.0,2023-05-10,근린상가,132.0,31.57,2253944.4027047334,599300.0,2001-12-22,1126,25,681818.1818181818,0,0
326,경기도,고양덕양구,내유동,"경기도 고양덕양구  내유동 431-3, 431-25",1770000000.0,2023-03-28,근린상가,495.0,493.57,11820686.200851489,1246000.0,2019-06-03,1169,7,3575757.5757575757,0,0
327,경기도,고양덕양구,내유동,경기도 고양덕양구  내유동 436-17,405000000.0,2024-11-12,단독주택,274.0,134.23,4886288.230681064,950700.0,1986-12-09,574,40,1478102.1897810218,0,0
328,경기도,고양덕양구,내유동,경기도 고양덕양구  내유동 283-22,350000000.0,2026-03-12,근린상가,452.0,585.0,2559789.3659036057,720200.0,1979-12-31,89,47,774336.2831858407,0,0
330,경기도,가평군,상면,경기도 가평군 상면 상동리 89,750000000.0,2024-01-20,숙박시설,953.0,337.61,2601614.735545862,107100.0,2019-05-07,871,7,786988.4575026233,0,0
331,경기도,가평군,상면,경기도 가평군 상면 상동리 89-1외 1필지,700000000.0,2024-01-20,숙박시설,1031.0,300.54,2244470.9862045194,111300.0,2019-05-07,871,7,678952.4733268671,0,0
332,경기도,가평군,상면,"경기도 가평군 상면 원흥리 229-5, 229-1, 229-4, 233-1",800000000.0,2025-01-06,야영장시설,3805.0,226.46,695040.2363136803,129900.0,2011-08-26,519,15,210249.6714848883,0,0
333,경기도,가평군,상면,"경기도 가평군 상면 행현리 313-2, 322-5, 322-6",4200000000.0,2025-02-03,숙박시설,428.0,1256.63,32439947.478180274,108400.0,2012-05-02,491,14,9813084.112149533,0,0
334,경기도,가평군,상면,경기도 가평군 상면 행현리 909-6,1136000000.0,2024-11-20,숙박시설,1278.0,373.74,2938475.6657483927,106700.0,2019-11-04,566,7,888888.8888888889,0,0
335,인천광역시,중구,운북동,"인천광역시 중구 운북동 552-6(토지, 가동 건물), 552-16(토지)",4000000000.0,2023-03-09,근린상가,3672.5,665.28,2866345.4096027566,550300.0,2010-09-01,1188,16,1089176.3104152484,0,0
336,인천광역시,중구,운북동,인천광역시 중구  운북동 26-44,600000000.0,2026-02-20,근린상가,903.0,174.72,2196534.966090991,455400.0,2009-12-11,109,17,664451.827242525,0,0
337,인천광역시,중구,운북동,인천광역시 중구  운북동 516-4외 1필지,1073000000.0,2026-03-05,근린상가,1421.0,272.5,2496205.093607691,626000.0,2011-01-06,96,15,755102.0408163265,0,0
338,인천광역시,중구,운북동,인천광역시 중구  운북동 552-26외 1필지,2130000000.0,2024-07-31,근린상가,3672.5,665.28,1917310.364615272,550300.0,2010-09-01,678,16,579986.3852961198,0,0
339,인천광역시,중구,운북동,인천광역시 중구  운북동 572-26,4000000000.0,2023-07-04,근린상가,6557.0,1188.0,2016644.88270059,554200.0,2018-05-18,1071,8,610035.0770169285,0,0
340,인천광역시,중구,운북동,인천광역시 중구  운북동 572-77외 3필지,2620000000.0,2023-07-27,근린상가,4538.0,748.0,1908584.6242382964,554200.0,2018-05-18,1048,8,577346.8488320846,0,0
342,전북특별자치도,남원시,대산면,전북특별자치도 남원시 대산면 신계리 560,5000000.0,2024-04-22,대지,331.0,585.0,49936.33117774837,14800.0,1979-12-31,778,47,15105.740181268882,0,0
343,전북특별자치도,남원시,대산면,전북특별자치도 남원시 대산면 신계리 381-1,87000000.0,2022-08-06,단독주택,634.0,56.25,453632.97442448576,15100.0,2011-06-16,1403,15,137223.97476340694,0,0
344,전북특별자치도,남원시,대산면,전북특별자치도 남원시 대산면 운교리 490-1,96000000.0,2026-03-09,단독주택,1137.0,117.38,279116.4220763645,20800.0,2005-10-11,92,21,84432.71767810026,0,0
345,전북특별자치도,남원시,대산면,전북특별자치도 남원시 대산면 운교리 806-1,30000000.0,2024-09-05,대지,510.0,585.0,194457.94846864365,16800.0,1979-12-31,642,47,58823.529411764706,0,0
346,전북특별자치도,남원시,대산면,전북특별자치도 남원시 대산면 운교리 564,110000000.0,2024-05-21,단독주택,1501.0,104.82,242262.73393495244,20800.0,1995-09-13,749,31,73284.47701532312,0,0
348,제주특별자치도,제주시,노형동,제주특별자치도 제주시  노형동 3064-1,4500000000.0,2025-08-14,"2종근생, 위험물저장및처리시설",4208.0,884.9,3535178.9586148383,1311000.0,2004-02-23,299,22,1069391.6349809887,0,0
349,제주특별자치도,제주시,노형동,제주특별자치도 제주시  노형동 3652,2191781250.0,2023-06-28,"위험물처리시설, 사무소",1692.0,247.05,4282244.592931246,744200.0,2004-01-20,1077,22,1295378.9893617022,0,0
351,제주특별자치도,제주시,노형동,제주특별자치도 제주시  노형동 913-1,5000000000.0,2022-08-31,위험물저장및처리시설,394.0,49.0,41951587.86760079,2664000.0,1991-10-22,1378,35,12690355.32994924,0,0
