is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
0,1,0,70.0,0,1,4.095,559060.8950843727,0.0,1848135.1903615629,1,1363.0,3,0,43,4900.0,747.7044169218026,0,1379386778.982379,1152692162.284876,1,0,0,0.0
1,0,0,70.0,0,1,8.62806,1091492.7768860352,0.0,3608240.584747224,0,3115.0,11,0,43,4900.0,1044.745795342597,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,0,1,2.94,679435.2159468438,0.0,2246066.829576344,1,3010.0,4,0,43,4900.0,824.2792099445696,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,1,0,70.0,0,1,1.386,762769.5800227015,0.0,2521552.3306535585,0,881.0,2,0,43,4900.0,873.3673797564811,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,0,1,70.0,0,0,4.18516,769230.7692307692,0.0,2542911.6338207247,0,403.0,26,0,4,4900.0,877.0585893945565,0,1379386778.982379,1152692162.284876,0,0,0,0.0
1,0,0,70.0,0,0,20.07082,2101653.892698669,0.0,6947616.174210476,0,1983.2,31,0,4,4900.0,1449.7085543993555,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,0,0,6.97704,1324744.132701422,0.0,4379319.446946849,0,1582.5,33,0,4,4900.0,1150.975730717821,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,0,6.65322,1904601.2509523083,0.0,6296202.482486971,0,656.3,35,0,4,4900.0,1380.0732773850482,0,1379386778.982379,1152692162.284876,2,1,0,0.0
0,0,1,70.0,0,1,6.1425,93744.84238323156,0.0,309900.3053991126,0,3029.5,14,0,14,4900.0,306.17942841286964,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,3.8402,539656.5821749796,0.0,1783988.7014048912,0,1223.0,12,0,14,4900.0,734.6139000692674,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,0,1,14.365049999999998,481838.0743982495,0.0,1592853.1385066097,1,2742.0,10,0,14,4900.0,694.1462917845557,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,4.095,222666.66666666663,0.0,736088.1542699725,0,3375.0,47,0,5,4900.0,471.8767494448806,0,1379386778.982379,1152692162.284876,1,1,0,0.0
